cluster,site,cost
10.0,943.0,45.118452781885736
10.0,944.0,46.496916228787185
10.0,945.0,46.23937738451787
10.0,946.0,47.54845588874942
10.0,947.0,48.45224104291199
10.0,948.0,49.144000239510945
10.0,949.0,49.76372385291768
10.0,950.0,51.278663393350406
10.0,951.0,54.11397103499232
10.0,952.0,56.64434597130161
10.0,953.0,54.643417640433064
10.0,954.0,55.766017961061394
10.0,955.0,57.683196928837006
10.0,977.0,84.41357932161912
10.0,978.0,80.60790966822086
10.0,979.0,82.43983903056815
10.0,980.0,83.14843659230152
10.0,988.0,30.2333391328122
10.0,989.0,26.979987572545262
10.0,990.0,27.34608870717188
10.0,991.0,29.845759379621455
10.0,1003.0,43.27729006922092
10.0,1004.0,43.963409347931446
10.0,1005.0,45.70985049771956
10.0,1006.0,46.96453428113388
10.0,1007.0,45.451400562850715
10.0,1008.0,46.04980408682498
10.0,1009.0,50.12258913591907
10.0,1010.0,49.31281245728062
10.0,1011.0,49.84084382417636
10.0,1012.0,50.80494572026703
10.0,1013.0,52.04587545204866
10.0,1016.0,58.75159888243288
10.0,1017.0,56.35900042592277
10.0,1018.0,57.59460906051832
10.0,1040.0,83.89430836130451
10.0,1041.0,83.64618274911115
10.0,1042.0,82.70314349078164
10.0,1043.0,84.44305674714761
10.0,1047.0,21.9995344675457
10.0,1048.0,22.598480867933443
10.0,1049.0,21.836463892030277
10.0,1052.0,25.007405768824484
10.0,1053.0,26.452635987423413
10.0,1069.0,45.673698286254
10.0,1070.0,47.3527388867486
10.0,1071.0,46.63124051982913
10.0,1072.0,50.226040985745705
10.0,1073.0,47.686177936296865
10.0,1074.0,49.852367305852084
10.0,1075.0,50.437538369766486
10.0,1076.0,51.175969279331895
10.0,1077.0,52.03271676587917
10.0,1081.0,56.81050824900552
10.0,1082.0,57.20726095508379
10.0,1085.0,67.55703067434759
10.0,1107.0,83.49280036875646
10.0,1115.0,21.062557321634955
10.0,1116.0,21.84327612561671
10.0,1129.0,36.90487330209899
10.0,1130.0,38.24152932257944
10.0,1136.0,44.80393751475759
10.0,1137.0,45.3237832561513
10.0,1138.0,46.45916930373489
10.0,1141.0,48.89589695154535
10.0,1142.0,50.28320528912473
10.0,1143.0,50.210951321659806
10.0,1144.0,51.4727585899132
10.0,1145.0,52.00090752053072
10.0,1146.0,53.410354871618736
10.0,1174.0,85.79475147914954
10.0,1175.0,85.65466821520283
10.0,1180.0,11.943502553841947
10.0,1184.0,19.432709557955434
10.0,1205.0,44.27495669032025
10.0,1207.0,46.74258610813918
10.0,1208.0,47.43693663240832
10.0,1209.0,46.538822374389504
10.0,1211.0,49.414386948009174
10.0,1212.0,50.808577429256715
10.0,1213.0,50.89310357605659
10.0,1214.0,52.10809208066096
10.0,1215.0,52.59117964789631
10.0,1231.0,70.8138276221647
10.0,1232.0,72.03007378518805
10.0,1237.0,81.13916774465423
10.0,1244.0,86.56122419467269
10.0,1252.0,10.859695278809946
10.0,1280.0,50.332525134527195
10.0,1281.0,48.885584649607914
10.0,1283.0,50.332555412326
10.0,1284.0,49.86406648914236
10.0,1285.0,50.863741635475634
10.0,1286.0,51.59417855089099
10.0,1287.0,52.01509901857
10.0,1307.0,75.25531423949062
10.0,1308.0,75.46645793814969
10.0,1309.0,78.42882934506184
10.0,1316.0,82.78393774071131
10.0,1351.0,42.89520302506844
10.0,1352.0,48.390887444542486
10.0,1353.0,47.91622379360483
10.0,1355.0,51.59533145716425
10.0,1356.0,52.0856251179196
10.0,1357.0,50.906825632642175
